Gender,What is your current level of study?,Which type of clothing do you prefer the most?,What do you usually  prefer  to wear for college use?,Does your college have a uniform policy?,How often you buy clothes ?,Which shopping method do you prefer?,what do you prefer in this for shopping ?,What price range do you prefer per clothing item?,What is your average spending ? (per year),Are discounts and offers important while purchasing clothes?,How confident are you while selecting clothes without assistance?,What is the main reason for regret ?,"Do you take opinions  before purchasing, if yes whose opinion?",What makes you trust a fashion brand or platform?,Which factor would make you buy a brand more frequently?,"Is there anything you would like to share about your fashion choices, shopping experience, or challenges you face while buying clothes?",average_spending,clean_feedback,cluster,feedback_sentiment
male,mbbs / medical,formal wear,casual wear,yes,on festival,offline shopping,"better prices, try before buying",₹1001 – ₹2000,12984,yes,very confident,poor fit,friends,quality assurance,better quality,,12984.0,,2,Neutral
male,mba,sports wear,formals,yes,1-2 months,offline shopping,"better prices, try before buying",₹1001 – ₹2000,12071,yes,very confident,no regret,friends,quality assurance,better quality,,12071.0,,2,Neutral
male,m.tech / m.e,formal wear,casual wear,no,1-2 months,both,"better prices, try before buying",below ₹500,26183,yes,very confident,no regret,friends,quality assurance,better quality,,26183.0,,1,Neutral
female,mba,ethnic wear,mixed,no,1-2 months,online shopping,"more variety, convenience",₹1001 – ₹2000,29435,yes,very confident,quality issues,friends,reviews,better prices,,29435.0,,1,Neutral
female,post-graduate,casual wear,formals,no,2-3 weeks,online shopping,"more variety, convenience",below ₹500,26798,yes,very confident,price not worth it,friends,reviews,better prices,,26798.0,,1,Neutral
female,b.tech / b.e,casual wear,jeans & t-shirts,no,1-2 months,both,"better prices, try before buying",below ₹500,31487,yes,very confident,poor fit,friends,reviews,better prices,,31487.0,,1,Neutral
female,b.tech / b.e,casual wear,jeans & t-shirts,yes,1-2 months,online shopping,"more variety, convenience",below ₹500,15908,yes,very confident,quality issues,friends,reviews,better prices,,15908.0,,2,Neutral
male,m.tech / m.e,casual wear,mixed,no,1-2 months,offline shopping,"better prices, try before buying",below ₹500,19635,sometimes,very confident,different from images,friends,quality assurance,better quality,,19635.0,,0,Neutral
female,mbbs / medical,casual wear,mixed,yes,on festival,online shopping,"more variety, convenience",below ₹500,18064,yes,very confident,quality issues,friends,reviews,better prices,,18064.0,,2,Neutral
female,b.tech / b.e,casual wear,jeans & t-shirts,no,1-2 months,online shopping,"more variety, convenience",below ₹500,29100,yes,very confident,quality issues,friends,reviews,better prices,,29100.0,,1,Neutral
female,b.tech / b.e,casual wear,casual wear,no,1-2 months,both,"better prices, try before buying",₹1001 – ₹2000,22698,yes,very confident,price not worth it,friends,reviews,better prices,,22698.0,,0,Neutral
female,b.tech / b.e,casual wear,casual wear,no,1-2 months,both,"better prices, try before buying",above ₹2000,20919,yes,very confident,poor fit,friends,reviews,better prices,,20919.0,,0,Neutral
female,m.tech / m.e,casual wear,jeans & t-shirts,no,1-2 months,online shopping,"more variety, convenience",below ₹500,29726,yes,very confident,poor fit,friends,reviews,better prices,,29726.0,,1,Neutral
female,post-graduate,casual wear,casual wear,no,2-3 weeks,both,"better prices, try before buying",above ₹2000,31718,yes,very confident,different from images,friends,reviews,better prices,,31718.0,,1,Neutral
female,b.tech / b.e,casual wear,casual wear,yes,1-2 months,online shopping,"more variety, convenience",below ₹500,17868,yes,very confident,price not worth it,friends,reviews,better prices,,17868.0,,2,Neutral
male,diploma,casual wear,jeans & t-shirts,yes,on festival,both,"better prices, try before buying",above ₹2000,12667,no,very confident,poor fit,friends,quality assurance,better quality,,12667.0,,2,Neutral
female,post-graduate,casual wear,mixed,yes,2-3 weeks,online shopping,"more variety, convenience",₹1001 – ₹2000,19980,yes,very confident,price not worth it,friends,reviews,better prices,,19980.0,,0,Neutral
female,m.tech / m.e,ethnic wear,mixed,no,1-2 months,online shopping,"more variety, convenience",above ₹2000,30719,yes,very confident,poor fit,friends,reviews,better prices,,30719.0,,1,Neutral
female,mba,casual wear,formals,yes,1-2 months,both,"better prices, try before buying",₹1001 – ₹2000,17080,yes,very confident,no regret,friends,reviews,better prices,,17080.0,,2,Neutral
male,diploma,sports wear,formals,yes,on festival,offline shopping,"better prices, try before buying",above ₹2000,15951,yes,very confident,different from images,friends,quality assurance,better quality,,15951.0,,2,Neutral
female,b.tech / b.e,ethnic wear,jeans & t-shirts,no,1-2 months,online shopping,"more variety, convenience",₹500 – ₹1000,29789,yes,very confident,poor fit,friends,reviews,better prices,,29789.0,,1,Neutral
male,mbbs / medical,casual wear,jeans & t-shirts,yes,on festival,both,"better prices, try before buying",below ₹500,16608,no,very confident,different from images,friends,quality assurance,better quality,,16608.0,,2,Neutral
male,m.tech / m.e,formal wear,casual wear,yes,1-2 months,offline shopping,"better prices, try before buying",below ₹500,16045,sometimes,very confident,different from images,friends,quality assurance,better quality,,16045.0,,2,Neutral
male,b.tech / b.e,sports wear,casual wear,no,1-2 months,both,"better prices, try before buying",₹500 – ₹1000,24724,sometimes,very confident,poor fit,friends,quality assurance,better quality,,24724.0,,1,Neutral
female,b.tech / b.e,casual wear,casual wear,yes,1-2 months,online shopping,"more variety, convenience",below ₹500,17655,yes,very confident,different from images,friends,reviews,better prices,,17655.0,,2,Neutral
female,diploma,casual wear,casual wear,no,on festival,both,"better prices, try before buying",below ₹500,25608,yes,very confident,different from images,friends,reviews,better prices,,25608.0,,1,Neutral
female,mbbs / medical,casual wear,casual wear,yes,on festival,online shopping,"more variety, convenience",below ₹500,17758,yes,very confident,no regret,friends,reviews,better prices,,17758.0,,2,Neutral
male,b.tech / b.e,casual wear,casual wear,yes,1-2 months,both,"better prices, try before buying",below ₹500,15771,yes,very confident,different from images,friends,quality assurance,better quality,,15771.0,,2,Neutral
female,b.tech / b.e,casual wear,casual wear,yes,1-2 months,online shopping,"more variety, convenience",₹500 – ₹1000,19814,yes,very confident,no regret,friends,reviews,better prices,,19814.0,,0,Neutral
male,diploma,sports wear,jeans & t-shirts,yes,on festival,offline shopping,"better prices, try before buying",above ₹2000,13803,no,very confident,different from images,friends,quality assurance,better quality,,13803.0,,2,Neutral
male,mbbs / medical,sports wear,jeans & t-shirts,yes,on festival,offline shopping,"better prices, try before buying",₹500 – ₹1000,14441,no,very confident,different from images,friends,quality assurance,better quality,,14441.0,,2,Neutral
male,m.tech / m.e,formal wear,casual wear,yes,1-2 months,offline shopping,"better prices, try before buying",₹500 – ₹1000,13668,no,very confident,no regret,friends,quality assurance,better quality,,13668.0,,2,Neutral
female,diploma,casual wear,casual wear,yes,on festival,online shopping,"more variety, convenience",₹500 – ₹1000,18010,yes,very confident,price not worth it,friends,reviews,better prices,,18010.0,,2,Neutral
female,m.tech / m.e,casual wear,casual wear,no,1-2 months,online shopping,"more variety, convenience",₹500 – ₹1000,27559,yes,very confident,price not worth it,friends,reviews,better prices,,27559.0,,1,Neutral
female,b.tech / b.e,ethnic wear,casual wear,no,1-2 months,both,"better prices, try before buying",above ₹2000,20214,yes,very confident,price not worth it,friends,reviews,better prices,,20214.0,,0,Neutral
male,mba,sports wear,casual wear,yes,1-2 months,offline shopping,"better prices, try before buying",₹1001 – ₹2000,14246,sometimes,very confident,quality issues,friends,quality assurance,better quality,,14246.0,,2,Neutral
female,mba,ethnic wear,casual wear,yes,1-2 months,both,"better prices, try before buying",₹1001 – ₹2000,14530,yes,very confident,no regret,friends,reviews,better prices,,14530.0,,2,Neutral
male,b.tech / b.e,casual wear,mixed,yes,1-2 months,offline shopping,"better prices, try before buying",₹1001 – ₹2000,11158,sometimes,very confident,poor fit,friends,quality assurance,better quality,,11158.0,,2,Neutral
female,b.tech / b.e,casual wear,jeans & t-shirts,yes,1-2 months,online shopping,"more variety, convenience",above ₹2000,18747,yes,very confident,price not worth it,friends,reviews,better prices,,18747.0,,0,Neutral
male,m.tech / m.e,sports wear,mixed,no,1-2 months,offline shopping,"better prices, try before buying",₹1001 – ₹2000,20103,sometimes,very confident,price not worth it,friends,quality assurance,better quality,,20103.0,,0,Neutral
female,mba,casual wear,mixed,yes,1-2 months,both,"better prices, try before buying",below ₹500,16043,yes,very confident,different from images,friends,reviews,better prices,,16043.0,,2,Neutral
female,m.tech / m.e,casual wear,mixed,no,1-2 months,both,"better prices, try before buying",₹1001 – ₹2000,20769,yes,very confident,price not worth it,friends,reviews,better prices,,20769.0,,0,Neutral
male,b.tech / b.e,casual wear,jeans & t-shirts,no,1-2 months,both,"better prices, try before buying",below ₹500,19154,sometimes,very confident,no regret,friends,quality assurance,better quality,,19154.0,,0,Neutral
female,m.tech / m.e,casual wear,mixed,no,1-2 months,online shopping,"more variety, convenience",above ₹2000,29187,yes,very confident,quality issues,friends,reviews,better prices,,29187.0,,1,Neutral
female,b.tech / b.e,casual wear,casual wear,no,1-2 months,online shopping,"more variety, convenience",₹500 – ₹1000,25922,yes,very confident,price not worth it,friends,reviews,better prices,,25922.0,,1,Neutral
female,diploma,ethnic wear,jeans & t-shirts,yes,on festival,online shopping,"more variety, convenience",₹500 – ₹1000,19284,yes,very confident,different from images,friends,reviews,better prices,,19284.0,,0,Neutral
female,m.tech / m.e,ethnic wear,casual wear,no,1-2 months,online shopping,"more variety, convenience",₹1001 – ₹2000,24766,yes,very confident,price not worth it,friends,reviews,better prices,,24766.0,,1,Neutral
female,diploma,ethnic wear,jeans & t-shirts,yes,on festival,both,"better prices, try before buying",above ₹2000,15612,yes,very confident,price not worth it,friends,reviews,better prices,,15612.0,,2,Neutral
female,diploma,casual wear,mixed,yes,on festival,online shopping,"more variety, convenience",₹500 – ₹1000,16085,yes,very confident,no regret,friends,reviews,better prices,,16085.0,,2,Neutral
male,m.tech / m.e,formal wear,mixed,no,1-2 months,both,"better prices, try before buying",below ₹500,25553,sometimes,very confident,different from images,friends,quality assurance,better quality,,25553.0,,1,Neutral
female,b.tech / b.e,ethnic wear,casual wear,no,1-2 months,both,"better prices, try before buying",₹500 – ₹1000,26660,yes,very confident,price not worth it,friends,reviews,better prices,,26660.0,,1,Neutral
female,mbbs / medical,casual wear,casual wear,no,2-3 weeks,online shopping,"more variety, convenience",below ₹500,30850,yes,very confident,poor fit,friends,reviews,better prices,,30850.0,,1,Neutral
female,mbbs / medical,casual wear,jeans & t-shirts,yes,on festival,both,"better prices, try before buying",above ₹2000,17613,yes,very confident,poor fit,friends,reviews,better prices,,17613.0,,2,Neutral
male,b.tech / b.e,sports wear,formals,no,1-2 months,both,"better prices, try before buying",₹500 – ₹1000,22916,sometimes,very confident,price not worth it,friends,quality assurance,better quality,,22916.0,,0,Neutral
female,m.tech / m.e,casual wear,casual wear,yes,1-2 months,online shopping,"more variety, convenience",below ₹500,18714,yes,very confident,quality issues,friends,reviews,better prices,,18714.0,,0,Neutral
male,mbbs / medical,casual wear,jeans & t-shirts,yes,on festival,offline shopping,"better prices, try before buying",above ₹2000,16685,sometimes,very confident,poor fit,friends,quality assurance,better quality,,16685.0,,2,Neutral
male,mbbs / medical,casual wear,jeans & t-shirts,yes,on festival,offline shopping,"better prices, try before buying",₹500 – ₹1000,13135,yes,very confident,poor fit,friends,quality assurance,better quality,,13135.0,,2,Neutral
female,b.tech / b.e,casual wear,casual wear,no,1-2 months,online shopping,"more variety, convenience",below ₹500,22998,yes,very confident,price not worth it,friends,reviews,better prices,,22998.0,,0,Neutral
male,b.tech / b.e,casual wear,jeans & t-shirts,no,1-2 months,offline shopping,"better prices, try before buying",below ₹500,24394,no,very confident,different from images,friends,quality assurance,better quality,,24394.0,,0,Neutral
female,m.tech / m.e,ethnic wear,casual wear,no,1-2 months,online shopping,"more variety, convenience",₹1001 – ₹2000,25986,yes,very confident,poor fit,friends,reviews,better prices,,25986.0,,1,Neutral
female,m.tech / m.e,casual wear,mixed,no,1-2 months,online shopping,"more variety, convenience",above ₹2000,31870,yes,very confident,different from images,friends,reviews,better prices,,31870.0,,1,Neutral
female,mbbs / medical,casual wear,mixed,no,on festival,online shopping,"more variety, convenience",₹500 – ₹1000,25548,yes,very confident,no regret,friends,reviews,better prices,,25548.0,,1,Neutral
male,b.tech / b.e,sports wear,jeans & t-shirts,no,1-2 months,both,"better prices, try before buying",above ₹2000,17891,sometimes,very confident,quality issues,friends,quality assurance,better quality,,17891.0,,2,Neutral
female,mba,casual wear,mixed,yes,1-2 months,online shopping,"more variety, convenience",₹1001 – ₹2000,19864,yes,very confident,poor fit,friends,reviews,better prices,,19864.0,,0,Neutral
male,mbbs / medical,formal wear,casual wear,no,on festival,offline shopping,"better prices, try before buying",₹500 – ₹1000,27123,no,very confident,poor fit,friends,quality assurance,better quality,,27123.0,,1,Neutral
female,m.tech / m.e,ethnic wear,formals,yes,1-2 months,both,"better prices, try before buying",₹1001 – ₹2000,15069,yes,very confident,poor fit,friends,reviews,better prices,,15069.0,,2,Neutral
female,b.tech / b.e,casual wear,jeans & t-shirts,no,1-2 months,both,"better prices, try before buying",above ₹2000,30855,yes,very confident,price not worth it,friends,reviews,better prices,,30855.0,,1,Neutral
male,mba,formal wear,mixed,yes,1-2 months,offline shopping,"better prices, try before buying",₹1001 – ₹2000,13044,no,very confident,poor fit,friends,quality assurance,better quality,,13044.0,,2,Neutral
male,m.tech / m.e,sports wear,mixed,no,1-2 months,offline shopping,"better prices, try before buying",₹500 – ₹1000,21525,no,very confident,quality issues,friends,quality assurance,better quality,,21525.0,,0,Neutral
female,b.tech / b.e,casual wear,casual wear,no,1-2 months,both,"better prices, try before buying",₹500 – ₹1000,30876,yes,very confident,price not worth it,friends,reviews,better prices,,30876.0,,1,Neutral
female,mbbs / medical,ethnic wear,casual wear,yes,on festival,both,"better prices, try before buying",₹500 – ₹1000,17180,yes,very confident,price not worth it,friends,reviews,better prices,,17180.0,,2,Neutral
female,b.tech / b.e,casual wear,mixed,no,1-2 months,online shopping,"more variety, convenience",₹500 – ₹1000,21653,yes,very confident,price not worth it,friends,reviews,better prices,,21653.0,,0,Neutral
female,b.tech / b.e,casual wear,casual wear,yes,1-2 months,both,"better prices, try before buying",above ₹2000,16214,yes,very confident,no regret,friends,reviews,better prices,,16214.0,,2,Neutral
male,mba,casual wear,jeans & t-shirts,yes,1-2 months,offline shopping,"better prices, try before buying",₹1001 – ₹2000,15332,yes,very confident,quality issues,friends,quality assurance,better quality,,15332.0,,2,Neutral
female,m.tech / m.e,casual wear,formals,no,1-2 months,online shopping,"more variety, convenience",₹500 – ₹1000,22090,yes,very confident,poor fit,friends,reviews,better prices,,22090.0,,0,Neutral
male,mbbs / medical,casual wear,mixed,yes,on festival,both,"better prices, try before buying",₹1001 – ₹2000,14541,yes,very confident,different from images,friends,quality assurance,better quality,,14541.0,,2,Neutral
female,m.tech / m.e,ethnic wear,mixed,no,1-2 months,online shopping,"more variety, convenience",above ₹2000,28343,yes,very confident,different from images,friends,reviews,better prices,,28343.0,,1,Neutral
female,mbbs / medical,casual wear,mixed,yes,on festival,online shopping,"more variety, convenience",₹500 – ₹1000,16063,yes,very confident,different from images,friends,reviews,better prices,,16063.0,,2,Neutral
male,mba,formal wear,mixed,yes,1-2 months,offline shopping,"better prices, try before buying",₹1001 – ₹2000,15163,no,very confident,price not worth it,friends,quality assurance,better quality,,15163.0,,2,Neutral
male,m.tech / m.e,formal wear,casual wear,yes,1-2 months,both,"better prices, try before buying",₹1001 – ₹2000,16305,sometimes,very confident,price not worth it,friends,quality assurance,better quality,,16305.0,,2,Neutral
male,mba,sports wear,mixed,yes,1-2 months,offline shopping,"better prices, try before buying",₹1001 – ₹2000,13832,sometimes,very confident,poor fit,friends,quality assurance,better quality,,13832.0,,2,Neutral
male,mba,casual wear,casual wear,yes,1-2 months,offline shopping,"better prices, try before buying",below ₹500,13297,yes,very confident,price not worth it,friends,quality assurance,better quality,,13297.0,,2,Neutral
female,mba,casual wear,mixed,no,1-2 months,online shopping,"more variety, convenience",above ₹2000,23013,yes,very confident,different from images,friends,reviews,better prices,,23013.0,,0,Neutral
female,diploma,casual wear,jeans & t-shirts,no,on festival,online shopping,"more variety, convenience",above ₹2000,27250,yes,very confident,price not worth it,friends,reviews,better prices,,27250.0,,1,Neutral
male,mba,casual wear,formals,no,1-2 months,both,"better prices, try before buying",₹500 – ₹1000,27558,yes,very confident,different from images,friends,quality assurance,better quality,,27558.0,,1,Neutral
female,b.tech / b.e,ethnic wear,casual wear,yes,1-2 months,both,"better prices, try before buying",₹1001 – ₹2000,15947,yes,very confident,price not worth it,friends,reviews,better prices,,15947.0,,2,Neutral
female,diploma,casual wear,mixed,yes,on festival,online shopping,"more variety, convenience",₹500 – ₹1000,16377,yes,very confident,no regret,friends,reviews,better prices,,16377.0,,2,Neutral
male,mbbs / medical,sports wear,casual wear,yes,on festival,both,"better prices, try before buying",below ₹500,13439,yes,very confident,different from images,friends,quality assurance,better quality,,13439.0,,2,Neutral
female,mba,casual wear,casual wear,yes,1-2 months,both,"better prices, try before buying",₹1001 – ₹2000,17364,yes,very confident,price not worth it,friends,reviews,better prices,,17364.0,,2,Neutral
female,mbbs / medical,casual wear,casual wear,yes,on festival,both,"better prices, try before buying",₹1001 – ₹2000,15370,yes,very confident,different from images,friends,reviews,better prices,,15370.0,,2,Neutral
female,b.tech / b.e,ethnic wear,casual wear,yes,1-2 months,online shopping,"more variety, convenience",below ₹500,18933,yes,very confident,poor fit,friends,reviews,better prices,,18933.0,,0,Neutral
female,mbbs / medical,casual wear,casual wear,yes,on festival,online shopping,"more variety, convenience",₹1001 – ₹2000,15773,yes,very confident,different from images,friends,reviews,better prices,,15773.0,,2,Neutral
male,m.tech / m.e,formal wear,formals,no,1-2 months,offline shopping,"better prices, try before buying",₹500 – ₹1000,25464,no,very confident,poor fit,friends,quality assurance,better quality,,25464.0,,1,Neutral
female,m.tech / m.e,casual wear,mixed,no,1-2 months,online shopping,"more variety, convenience",₹1001 – ₹2000,26158,yes,very confident,price not worth it,friends,reviews,better prices,,26158.0,,1,Neutral
female,b.tech / b.e,casual wear,casual wear,no,1-2 months,both,"better prices, try before buying",₹1001 – ₹2000,27030,yes,very confident,no regret,friends,reviews,better prices,,27030.0,,1,Neutral
male,m.tech / m.e,formal wear,jeans & t-shirts,yes,1-2 months,both,"better prices, try before buying",above ₹2000,12077,sometimes,very confident,price not worth it,friends,quality assurance,better quality,,12077.0,,2,Neutral
female,diploma,casual wear,casual wear,yes,on festival,online shopping,"more variety, convenience",₹500 – ₹1000,18410,yes,very confident,different from images,friends,reviews,better prices,,18410.0,,0,Neutral
female,b.tech / b.e,casual wear,casual wear,no,1-2 months,online shopping,"more variety, convenience",below ₹500,22263,yes,very confident,different from images,friends,reviews,better prices,,22263.0,,0,Neutral
female,post-graduate,casual wear,formals,yes,2-3 weeks,online shopping,"more variety, convenience",above ₹2000,14680,yes,very confident,no regret,friends,reviews,better prices,,14680.0,,2,Neutral
female,b.tech / b.e,casual wear,jeans & t-shirts,no,1-2 months,both,"better prices, try before buying",above ₹2000,26560,yes,very confident,no regret,friends,reviews,better prices,,26560.0,,1,Neutral
female,post-graduate,ethnic wear,casual wear,yes,2-3 weeks,both,"better prices, try before buying",₹500 – ₹1000,18255,yes,very confident,quality issues,friends,reviews,better prices,,18255.0,,2,Neutral
female,b.tech / b.e,casual wear,formals,no,1-2 months,online shopping,"more variety, convenience",₹500 – ₹1000,20600,yes,very confident,different from images,friends,reviews,better prices,,20600.0,,0,Neutral
male,b.tech / b.e,casual wear,mixed,yes,1-2 months,offline shopping,"better prices, try before buying",₹500 – ₹1000,11416,no,very confident,quality issues,friends,quality assurance,better quality,,11416.0,,2,Neutral
female,m.tech / m.e,casual wear,casual wear,no,1-2 months,both,"better prices, try before buying",₹1001 – ₹2000,29632,yes,very confident,poor fit,friends,reviews,better prices,,29632.0,,1,Neutral
female,m.tech / m.e,casual wear,casual wear,no,1-2 months,both,"better prices, try before buying",₹1001 – ₹2000,29708,yes,very confident,different from images,friends,reviews,better prices,,29708.0,,1,Neutral
female,mba,casual wear,mixed,no,1-2 months,online shopping,"more variety, convenience",₹1001 – ₹2000,22943,yes,very confident,price not worth it,friends,reviews,better prices,,22943.0,,0,Neutral
female,b.tech / b.e,casual wear,casual wear,yes,1-2 months,online shopping,"more variety, convenience",above ₹2000,17691,yes,very confident,no regret,friends,reviews,better prices,,17691.0,,2,Neutral
male,mba,casual wear,formals,no,1-2 months,offline shopping,"better prices, try before buying",₹1001 – ₹2000,22318,sometimes,very confident,no regret,friends,quality assurance,better quality,,22318.0,,0,Neutral
male,post-graduate,formal wear,formals,no,2-3 weeks,both,"better prices, try before buying",above ₹2000,24592,no,very confident,different from images,friends,quality assurance,better quality,,24592.0,,0,Neutral
female,b.tech / b.e,ethnic wear,casual wear,no,1-2 months,online shopping,"more variety, convenience",above ₹2000,30354,yes,very confident,different from images,friends,reviews,better prices,,30354.0,,1,Neutral
female,mbbs / medical,ethnic wear,casual wear,yes,on festival,online shopping,"more variety, convenience",below ₹500,14479,yes,very confident,quality issues,friends,reviews,better prices,,14479.0,,2,Neutral
male,b.tech / b.e,casual wear,casual wear,yes,1-2 months,both,"better prices, try before buying",₹1001 – ₹2000,15667,yes,very confident,different from images,friends,quality assurance,better quality,,15667.0,,2,Neutral
female,b.tech / b.e,ethnic wear,jeans & t-shirts,yes,1-2 months,both,"better prices, try before buying",₹1001 – ₹2000,16958,yes,very confident,quality issues,friends,reviews,better prices,,16958.0,,2,Neutral
female,post-graduate,casual wear,mixed,no,2-3 weeks,online shopping,"more variety, convenience",₹1001 – ₹2000,26769,yes,very confident,different from images,friends,reviews,better prices,,26769.0,,1,Neutral
female,b.tech / b.e,ethnic wear,casual wear,yes,1-2 months,online shopping,"more variety, convenience",₹1001 – ₹2000,17923,yes,very confident,no regret,friends,reviews,better prices,,17923.0,,2,Neutral
female,b.tech / b.e,casual wear,casual wear,no,1-2 months,online shopping,"more variety, convenience",₹500 – ₹1000,31071,yes,very confident,poor fit,friends,reviews,better prices,,31071.0,,1,Neutral
male,mba,sports wear,casual wear,yes,1-2 months,offline shopping,"better prices, try before buying",below ₹500,11340,sometimes,very confident,quality issues,friends,quality assurance,better quality,,11340.0,,2,Neutral
female,m.tech / m.e,casual wear,jeans & t-shirts,no,1-2 months,online shopping,"more variety, convenience",below ₹500,20353,yes,very confident,no regret,friends,reviews,better prices,,20353.0,,0,Neutral
male,post-graduate,sports wear,jeans & t-shirts,no,2-3 weeks,both,"better prices, try before buying",below ₹500,19139,yes,very confident,poor fit,friends,quality assurance,better quality,,19139.0,,0,Neutral
male,m.tech / m.e,casual wear,casual wear,no,1-2 months,both,"better prices, try before buying",₹1001 – ₹2000,28837,sometimes,very confident,price not worth it,friends,quality assurance,better quality,,28837.0,,1,Neutral
female,mba,casual wear,mixed,yes,1-2 months,online shopping,"more variety, convenience",₹500 – ₹1000,18290,yes,very confident,different from images,friends,reviews,better prices,,18290.0,,2,Neutral
female,b.tech / b.e,casual wear,jeans & t-shirts,yes,1-2 months,online shopping,"more variety, convenience",above ₹2000,17687,yes,very confident,price not worth it,friends,reviews,better prices,,17687.0,,2,Neutral
male,b.tech / b.e,formal wear,jeans & t-shirts,no,1-2 months,both,"better prices, try before buying",₹1001 – ₹2000,17564,sometimes,very confident,different from images,friends,quality assurance,better quality,,17564.0,,2,Neutral
female,diploma,casual wear,jeans & t-shirts,yes,on festival,both,"better prices, try before buying",above ₹2000,19274,yes,very confident,different from images,friends,reviews,better prices,,19274.0,,0,Neutral
female,mba,casual wear,formals,yes,1-2 months,both,"better prices, try before buying",above ₹2000,18876,yes,very confident,poor fit,friends,reviews,better prices,,18876.0,,0,Neutral
female,mbbs / medical,casual wear,jeans & t-shirts,yes,on festival,both,"better prices, try before buying",above ₹2000,17988,yes,very confident,quality issues,friends,reviews,better prices,,17988.0,,2,Neutral
male,b.tech / b.e,casual wear,casual wear,no,1-2 months,offline shopping,"better prices, try before buying",₹500 – ₹1000,21069,sometimes,very confident,no regret,friends,quality assurance,better quality,,21069.0,,0,Neutral
female,b.tech / b.e,casual wear,casual wear,no,1-2 months,online shopping,"more variety, convenience",above ₹2000,20846,yes,very confident,poor fit,friends,reviews,better prices,,20846.0,,0,Neutral
female,b.tech / b.e,casual wear,jeans & t-shirts,yes,1-2 months,both,"better prices, try before buying",above ₹2000,17480,yes,very confident,poor fit,friends,reviews,better prices,,17480.0,,2,Neutral
male,post-graduate,casual wear,jeans & t-shirts,no,2-3 weeks,offline shopping,"better prices, try before buying",above ₹2000,25636,sometimes,very confident,different from images,friends,quality assurance,better quality,,25636.0,,1,Neutral
male,m.tech / m.e,formal wear,casual wear,yes,1-2 months,offline shopping,"better prices, try before buying",₹500 – ₹1000,11565,yes,very confident,no regret,friends,quality assurance,better quality,,11565.0,,2,Neutral
female,m.tech / m.e,casual wear,mixed,no,1-2 months,online shopping,"more variety, convenience",₹500 – ₹1000,27605,yes,very confident,different from images,friends,reviews,better prices,,27605.0,,1,Neutral
female,b.tech / b.e,casual wear,casual wear,no,1-2 months,online shopping,"more variety, convenience",₹500 – ₹1000,23436,yes,very confident,poor fit,friends,reviews,better prices,,23436.0,,0,Neutral
female,m.tech / m.e,casual wear,formals,no,1-2 months,online shopping,"more variety, convenience",₹500 – ₹1000,29170,yes,very confident,poor fit,friends,reviews,better prices,,29170.0,,1,Neutral
female,mbbs / medical,ethnic wear,mixed,no,on festival,online shopping,"more variety, convenience",₹1001 – ₹2000,26475,yes,very confident,no regret,friends,reviews,better prices,,26475.0,,1,Neutral
female,mbbs / medical,casual wear,casual wear,yes,2-3 weeks,both,"better prices, try before buying",₹1001 – ₹2000,14774,yes,very confident,poor fit,friends,reviews,better prices,,14774.0,,2,Neutral
male,b.tech / b.e,formal wear,casual wear,no,1-2 months,offline shopping,"better prices, try before buying",above ₹2000,23318,sometimes,very confident,price not worth it,friends,quality assurance,better quality,,23318.0,,0,Neutral
male,mbbs / medical,casual wear,casual wear,yes,on festival,offline shopping,"better prices, try before buying",₹1001 – ₹2000,13374,sometimes,very confident,poor fit,friends,quality assurance,better quality,,13374.0,,2,Neutral
female,mba,casual wear,formals,yes,1-2 months,both,"better prices, try before buying",below ₹500,15082,yes,very confident,quality issues,friends,reviews,better prices,,15082.0,,2,Neutral
female,b.tech / b.e,casual wear,casual wear,no,1-2 months,both,"better prices, try before buying",above ₹2000,30098,yes,very confident,price not worth it,friends,reviews,better prices,,30098.0,,1,Neutral
female,b.tech / b.e,casual wear,jeans & t-shirts,no,1-2 months,online shopping,"more variety, convenience",below ₹500,20132,yes,very confident,poor fit,friends,reviews,better prices,,20132.0,,0,Neutral
female,mbbs / medical,casual wear,casual wear,no,on festival,online shopping,"more variety, convenience",₹500 – ₹1000,23745,yes,very confident,different from images,friends,reviews,better prices,,23745.0,,0,Neutral
male,post-graduate,formal wear,mixed,no,2-3 weeks,both,"better prices, try before buying",₹500 – ₹1000,17151,sometimes,very confident,quality issues,friends,quality assurance,better quality,,17151.0,,2,Neutral
male,diploma,casual wear,casual wear,no,on festival,both,"better prices, try before buying",above ₹2000,18152,yes,very confident,price not worth it,friends,quality assurance,better quality,,18152.0,,2,Neutral
female,diploma,casual wear,jeans & t-shirts,no,on festival,online shopping,"more variety, convenience",₹1001 – ₹2000,23565,yes,very confident,no regret,friends,reviews,better prices,,23565.0,,0,Neutral
female,m.tech / m.e,ethnic wear,casual wear,no,1-2 months,both,"better prices, try before buying",₹500 – ₹1000,20651,yes,very confident,no regret,friends,reviews,better prices,,20651.0,,0,Neutral
female,b.tech / b.e,casual wear,casual wear,yes,1-2 months,online shopping,"more variety, convenience",below ₹500,17579,yes,very confident,poor fit,friends,reviews,better prices,,17579.0,,2,Neutral
male,b.tech / b.e,sports wear,casual wear,yes,1-2 months,offline shopping,"better prices, try before buying",₹500 – ₹1000,11521,no,very confident,different from images,friends,quality assurance,better quality,,11521.0,,2,Neutral
